Module Code,Positive Comments,Negative Comments,Positive Sentiment Ratio,Aggregated Sentiment Score
BN2204,,,,
BN2204S,,,,
BN2301,,,,
BN2403,0,1,0,-0.990982115
BN3101,,,,
BN3101A,,,,
BN3202,,,,
BN3301,,,,
BN3402,,,,
BN4101,,,,
BN4102,,,,
BN4103,,,,
BN4109,,,,
BN4202,,,,
BN4203,,,,
BN4301,,,,
BN4302,,,,
BN4303,,,,
BN4304,,,,
BN4403,0,1,0,-0.979800165
BN4404,,,,
BN4406,,,,
BN4501,,,,
BN4701,,,,
BN5001,,,,
BN5101,0,1,0,-0.996408284
BN5102,,,,
BN5104,0,1,0,-0.999591529
BN5201,,,,
BN5202,,,,
BN5203,,,,
BN5207,,,,
BN5208,,,,
BN5209,,,,
BN5211,,,,
BN5302,,,,
BN5303,,,,
BN5304,,,,
BN5501,,,,
BN5511,,,,
BN5512,,,,
BN5513,,,,
BN5514,,,,
BN5515,,,,
BN5516,,,,
BN5666,,,,
BN5999,,,,
BN6202,,,,
BN6999,,,,
BPM1701,,,,
BPM1702,,,,
BPM1705,,,,
BPS5000,,,,
BPS5111,,,,
BPS5112,,,,
BPS5221,,,,
BPS5222,,,,
BPS5223,,,,
BPS5224,,,,
BPS5225,,,,
BPS5226,,,,
BPS5228,,,,
BPS5229,0,1,0,-0.987202108
BPS5300,,,,
BRP6551,,,,
BRP6552,,,,
BS5770,,,,
BS6770,,,,
BSE3701,,,,
BSE3702,,,,
BSE3703,,,,
BSE3711,,,,
BSE3751,,,,
BSE4751,,,,
BSE4761A,,,,
BSN3701,,,,
BSN3701A,,,,
BSN3701B,,,,
BSN3702,,,,
BSN3703,,,,
BSN3714,9,0,1,0.980896566
BSN3715,,,,
BSN3751,,,,
BSN4711,,,,
BSN4751,,,,
BSP1702,1,4,0.2,-0.562147868
BSP1702X,,,,
BSP1703,1,4,0.2,-0.516495872
BSP1707A,0,1,0,-0.950790524
BSP2701,,,,
BSP3701A,0,1,0,-0.736015201
BSP3701B,,,,
BSP3701C,0,1,0,-0.954437017
BST3762,,,,
BT1101,5,10,0.333333333,-0.345632589
BT2101,1,6,0.142857143,-0.710060665
BT2102,1,12,0.076923077,-0.857211631
BT3017,0,1,0,-0.960003972
BT3102,3,14,0.176470588,-0.632282846
BT3103,0,2,0,-0.969001144
BT3104,,,,
BT4010,,,,
BT4011,,,,
BT4012,0,1,0,-0.978428423
BT4013,1,2,0.333333333,-0.337353388
BT4014,0,1,0,-0.99585104
BT4015,,,,
BT4016,,,,
BT4101,,,,
BT4103,0,2,0,-0.994834632
BT4211,0,1,0,-0.975611925
BT4212,2,0,1,0.99372828
BT4222,1,4,0.2,-0.55385077
BT4240,,,,
BT4301,,,,
BT5110,,,,
BT5126,,,,
BT5151,,,,
BT5153,0,1,0,-0.971478939
BWS3804,,,,
BWS3806,,,,
BWS3814,,,,
BWS3816,,,,
BZD6004,,,,
BZD6010,,,,
BZD6011,,,,
BZD6012,,,,
BZD6016,,,,
CAH5101,,,,
