Module Code,Workload
BT4015,7
BT4016,10
BT4101,15
BT4103,20
BT4211,10
BT4212,10
BT4222,10
BT4240,7
BT4301,10
BT5110,10
BT5126,10
BT5151,10
BT5153,10
BWS3804,40
BWS3806,40
BWS3814,40
BWS3816,40
BZD6004,10
BZD6010,7
BZD6012,10
BZD6016,10
CAH5101,9
CAH5102,9
CAH5103,9
CAH5104,40
CAH5105,9
CAH5106,9
CAS5101,12
CAS5660,10
CAS6101,10
CAS6660,10
CAS6770,10
CDE2000,6
CDE2212,10
CDE2501,10
CDE2502,9
CDE2503,10
CDE3504,9
CDE3505,10
CDE4501B,9
CDE5301,15
CDE5302,10
CDE5304,10
CDE5311,10
CDM5101,10
CDM5102,10
CDM5103,10
CDM5104,10
CE1103,10
CE2003,10
CE2134,9
CE2155,9
CE2407A,8
CE2407B,8
CE3001,10
CE3102,4
CE3115,10
CE3116,10
CE3121,9
CE3132,9
CE3155A,8
CE3155B,8
CE3165,10
CE3166,10
CE3201,10
CE3202,10
CE3203,10
CE3204,3
CE4103,0
CE4103R,20
CE4104,20
CE4221,8
CE5001,10
CE5002A,10
CE5002B,10
CE5002D,10
CE5002E,10
CE5003,40
CE5010A,10
CE5010QA,10
CE5101,10
CE5104A,4
CE5104B,4
CE5104QA,10
CE5104QB,10
CE5106A,4
CE5106B,4
CE5106QA,10
CE5106QB,10
CE5107A,10
CE5107B,10
CE5107QA,10
CE5107QB,10
CE5108A,4
CE5108B,4
CE5108QA,10
CE5108QB,10
CE5111,10
CE5112,10
CE5113A,4
CE5113B,4
CE5113QA,10
CE5113QB,10
CE5205,10
CE5208,10
CE5209,10
CE5214QA,10
CE5214QB,10
CE5308A,10
CE5308B,10
CE5308QA,10
CE5308QB,10
CE5310,10
CE5312,10
CE5315,10
CE5316QA,11
CE5316QB,10
CE5317A,10
CE5317B,10
CE5317QA,10
CE5317QB,10
CE5509A,4
CE5509B,4
CE5509QA,10
CE5509QB,10
CE5510A,4
CE5510B,4
CE5510QA,10
CE5510QB,10
CE5513,10
CE5515,10
CE5516A,10
CE5516B,10
CE5516QA,10
CE5516QB,10
CE5604,10
CE5610A,10
CE5610B,10
CE5610QA,10
CE5610QB,10
CE5611A,4
CE5611B,4
CE5611QA,10
CE5611QB,10
CE5666,480
CE5716,5
CE5717,5
CE5721QA,10
CE5721QB,10
CE5805A,10
CE5805B,10
CE5805QA,10
CE5805QB,10
CE5806A,10
CE5806B,10
CE5806QA,10
CE5806QB,10
CE5807A,4
CE5807B,10
CE5807QA,10
CE5807QB,10
CE5808A,4
CE5808B,10
CE5808QA,10
CE5808QB,10
CE5809,10
CE6001,10
CE6006,10
CE6077A,10
CE6077B,10
CE6077QA,10
CE6077QB,10
CE6102,10
CE6601,9
CEG5001,10
CEG5002,10
CEG5003,10
CEG5101,10
CEG5103,10
CEG5104,10
CEG5201,10
CEG5202,10
CEG5203,10
CEG5204,10
CEG5205,10
CEG5301,10
CEG5302,10
CEG5303,10
CEG5304,10
CFA1101A,4
CFA1101B,5
CFA2101A,4
CFA2101B,5
CFG1002,5
CFG1003,1
CFG1004,5
CFG1500,5
CFG1600,10
CFG2002I,9
CFG2002ID,9
CFG2002IN,9
CFG2002KH,9
CFG2002T,9
CFG2002TH,9
CFG2002VN,9
CFG2100,10
CFG2101,40
CFG2600A,0
CFG3001,13
CG1111A,9
CG2023,10
CG2027,4
CG2028,5
CG2111A,9
CG2271,10
CG3207,10
CG4001,15
CG4002,20
CG4003,15
CH1101E,10
CH2121,10
CH2141,10
CH2161,10
CH2221,10
CH2243,10
CH2275,10
CH2276,10
CH2291,10
CH2293,10
CH2295,10
CH2299,10
CH2392,10
CH3221,10
CH3230,10
CH3244,10
CH3246,10
CH3294,10
CH3298,10
CH3550,10
CH4203,10
CH4203HM,12
CH4207,10
CH4207HM,10
CH4222,10
CH4222HM,12
CH4224,10
CH4224HM,12
CH4227,10
CH4227HM,12
CH4261,10
CH4261HM,12
CH4262,10
CH4262HM,12
CH4401,20
CH4401HM,37
CH4882A,10
CH4882AHM,12
CH5213,10
CH5213R,10
CH5223,10
CH5223R,10
CH5224,10
CH5242,10
CH5243,10
CH5243R,10
CH5247,10
CH5247R,10
CH5660,10
CH6201,10
CH6227,10
CH6241,10
CH6243,10
CH6261,10
CH6262,10
CH6263,10
CH6770,10
CHC5101,10
CHC5102,10
CHC5301,10
CHC5302,10
CHC5303,10
CHC5305,10
CHC5307,10
CHC5308,10
CHC5310,10
CHC5313,10
CHC5314,10
CHC5315,10
CHC5316,10
CHC5319,10
CHC5322,10
CHC5325,10
CHC5326,10
CHC5330,10
CHC5331,10
CHC5332,10
CHC5333,10
CHC5334,10
CHC5335,10
CHC5336,10
CHC5337,10
CHC5338,10
CHC5339,10
CHC5340,10
CHC5341,10
CHC5342,10
CHC5347,10
CL1101E,10
CL1101S,10
CL2101,10
CL2101S,10
CL2102,10
CL2103,10
CL3104,10
CL3203,10
CL3210,10
CL3218,10
CL3550,10
CLC1101,10
CLC2201,18
CLC2202,14
CLC2203,10
CLC2204,10
CLC3303,14
CLC3304A,10
CLC3305,18
CLC3306,10
CLC3307,10
CM1102,10
CM1417,10
CM2112,10
CM2122,9
CM2133,10
CM2143,9
CM2288,10
CM2288R,10
CM2289,10
CM2289R,10
CM2310,40
CM2312,40
CM2313,40
CM3111,10
CM3121,10
CM3131,10
CM3141,10
CM3191,10
CM3192,10
CM3212,10
CM3221,10
CM3225,10
CM3251,10
CM3252,10
CM3253,10
CM3261,10
CM3267,10
CM3288,10
CM3288NR,10
CM3288R,60
CM3289,10
CM3289N,10
CM3289NR,10
CM3289R,10
CM3296,10
CM3310,40
CM3311,40
CM3312,40
CM3313,40
CM4199A,20
CM4211,10
CM4225,10
CM4227,10
CM4228,10
CM4236,10
CM4242,10
CM4253,10
CM4254,10
CM4258,10
CM4269,10
CM4271,10
CM4274,10
CM4282,10
CM4299,40
CM4310,40
CM5100,20
CM5102,10
CM5103,10
CM5104,10
CM5151,10
CM5161,10
CM5198,10
CM5211,10
CM5212,10
CM5221,10
CM5223,10
CM5224,10
CM5225,10
CM5235,11
CM5237,10
CM5239,10
CM5241,10
CM5244,10
CM5263,10
CM5268,10
CN1101A,9
CN2102,10
CN2103,10
CN2104,9
CN2105,10
CN2106,10
CN3101A,10
CN3102,10
CN3103,10
CN3104,10
CN3109,4
CN3135,7
CN4101,10
CN4102,10
CN4118,20
CN4118N,20
CN4118R,24
CN4119,10
CN4122,7
CN4123R,14
CN4201R,10
CN4203R,10
CN4205R,10
CN4210E,9
CN4211E,9
CN4215E,9
CN4215R,10
CN4218,9
CN4221R,9
CN4227R,10
CN4233R,10
CN4235,10
CN4242E,13
CN4247R,10
CN4248,10
CN4249,9
CN4251,10
CN5010,11
CN5020,10
CN5030,10
CN5040,10
CN5050,10
CN5111,10
CN5112,10
CN5150,10
CN5160,12
CN5162,10
CN5172,10
CN5173,10
CN5190,14
CN5191,14
CN5192,14
CN5193,10
CN5194,12
CN5195,10
CN5202,10
CN5203,10
CN5204,10
CN5216,14
CN5220,10
CN5246,12
CN5251,10
CN5432,14
CN5550,20
CN5555,17
CN5566,30
CN5666,10
CN6020,12
CN6163,10
CN6251,10
COS1000,10
CP1008,10
CP2106,10
CP2201,5
CP3107,15
CP3108A,5
CP3108B,10
CP3110,15
CP3200,15
CP3201,5
CP3202,15
CP3208,0
CP3209,10
CP3880,30
CP4101,15
CP4106,20
CP5101,40
CP5102,20
CP5103,20
CP5104,10
CP5105,15
CP5106,20
CS1010,10
CS1010A,10
CS1010E,10
CS1010J,10
CS1010R,3
CS1010S,10
CS1010X,10
CS1101S,10
CS1231,10
CS1231S,10
CS2030,10
CS2030S,10
CS2040,10
CS2040C,10
CS2040S,10
CS2100,10
CS2101,10
CS2102,6
CS2103,10
CS2103R,3
CS2103T,7
CS2104,9
CS2105,10
CS2106,10
CS2107,10
CS2108,10
CS2109S,10
CS2113,10
CS2113T,10
CS2220,10
CS2309,10
CS3103,10
CS3203,20
CS3210,10
CS3211,10
CS3213,10
CS3216,13
CS3217,13
CS3219,10
CS3223,7
CS3230,9
CS3230R,3
CS3231,10
CS3233,9
CS3233R,3
CS3234,9
CS3235,6
CS3236,6
CS3236R,3
CS3237,10
CS3240,7
CS3241,9
CS3241R,3
CS3242,10
CS3243,10
CS3244,10
CS3245,10
CS3245R,3
CS3247,10
CS3263,10
CS3264,10
CS3281,10
CS3282,10
CS4211,10
CS4212,9
CS4215,10
CS4218,10
CS4220,10
CS4221,7
CS4222,10
CS4223,7
CS4224,7
CS4225,7
CS4226,10
CS4230,10
CS4231,10
CS4234,10
CS4236,10
CS4238,10
CS4239,8
CS4240,10
CS4242,7
CS4243,10
CS4246,10
CS4247,10
CS4248,9
CS4249,6
CS4261,10
CS4268,10
CS4269,10
CS4277,10
CS4278,10
CS4330,6
CS4347,10
CS4350,10
CS5218,10
CS5219,10
CS5222,10
CS5223,10
CS5224,6
CS5228,10
CS5229,10
CS5230,10
CS5231,10
CS5232,10
CS5233,10
CS5234,10
CS5239,10
CS5240,10
CS5242,10
CS5246,10
CS5250,10
CS5260,10
CS5272,10
CS5321,10
CS5322,10
CS5330,10
CS5331,10
CS5332,10
CS5339,10
CS5340,10
CS5342,10
CS5344,10
CS5346,10
CS5421,10
CS5422,10
CS5424,10
CS5425,10
CS5430,10
CS5439,10
CS5446,10
CS5461,10
CS5469,10
CS5477,10
CS5478,10
CS5562,10
CS5647,10
CS6101,10
CS6203,10
CS6204,10
CS6206,10
CS6207,10
CS6208,10
CS6211,10
CS6212,10
CS6213,10
CS6216,10
CS6217,10
CS6220,10
CS6222,10
CS6223,10
CS6231,10
CS6234,10
CS6235,10
CS6240,10
CS6244,10
CS6285,10
CSA6101,10
CSA6102,10
CSA6770,10
DAO1704,10
DAO1704X,10
DAO2702,10
DAO2702X,10
DAO2703,10
DBA3701,10
DBA3702,10
DBA3711,10
DBA3713,10
DBA3751,10
DBA3803,10
DBA4711,10
DBA4713,10
DBA4714,10
DBA4751,10
DBA4761A,10
DBA4811,10
DBA4813,10
DBA5101,10
DBA5102,10
DBA5103,10
DBA5104,10
DBA5105,10
DBA5106,10
DBA5107,10
DBA5109,10
DBA5110,5
DBA5111,10
DBA5112,10
DE5106,10
DE5108,15
DE5109,25
DEP5101,10
DEP5101A,10
DEP5102,10
DEP5103,10
DEP5104,10
DEP5105,10
DEP5107,20
DEP5108,20
DEP5109,30
DEP5110,20
DEP5111,10
DEP5112,10
DEP5113,10
DEP5114,10
DEP5117,10
DI5100,23
DI5200,100
DL5101,39
DL5102,9
DL5103,9
DL5107,20
DL5201,10
DL5202,9
DL5203,10
DL5301,9
DL5302,10
DL5303,9
DMA1401L01,0
DMA1401PH,0
DMB1201ACC,0
DMB1201BSP,0
DMB1201DAO,0
DMB1201DO,0
DMB1201FIN,0
DMB1201MKT,0
DMB1201MNO,0
DMB1202ACC,0
DMB1202BSP,0
DMB1202DAO,0
DMB1202DO,0
DMB1202FIN,0
DMB1202MKT,0
DMB1202MNO,0
DMB1203ACC,0
DMB1203BSP,0
DMB1203DAO,0
DMB1203DO,0
DMB1203FIN,0
DMB1203MKT,0
DMB1203MNO,0
DMB1204ACC,0
DMB1204BSP,0
DMB1204DAO,0
DMB1204DO,0
DMB1204FIN,0
DMB1204MKT,0
DMB1204MNO,0
DMC1401,0
DMC1401CS,0
DMC1401IS,0
DMS1401CM,0
DMS1401SP,0
DMX1101,0
DMX1101AI,0
DMX1101CT,0
DMX1102,0
DMX1103,0
DMX1104,0
DMX1105,0
DMX1106,0
DMX1107,0
DMX1108,0
DMX1201,0
DMX1201AI,0
DMX1201CT,0
DMX1202,0
DMX1203,0
DMX1204,0
DMX1301,0
DMX1301AI,0
DMX1301CT,0
DMX1302,0
DMX1401,0
DMX1401AI,0
DMX1401CT,0
DMX1402,0
DMX1501,0
DMX1501AI,0
DMX1501CT,0
DMX1601,0
DMX1701,0
DMX1801,0
DMY1201RF,0
DMY1401EH,0
DMY1401ELC,0
DMY1401FA,0
DMY1401HL,0
DMY1401LED,0
DMY1401PGP,0
DMY1401RF,0
DMY1401SOG,0
DMY1401TSG,0
DMY1401TT,0
DOS3701,10
DOS3702,10
DOS3703,10
DOS3704,10
DOS3712,10
DOS3714,10
DOS3751,10
DOS3752,5
DOS3811,10
DOS4712,10
DOS4715,10
DOS4751,10
DOS4752,5
DOS4811,10
DOS4813,10
DOS5101,10
DOS5101A,10
DOS5102,10
DOS5103,10
DOS5104,10
DOS5106,10
DSA1101,10
DSA1361,4
DSA2101,10
DSA2102,10
DSA2310,40
DSA2312,40
DSA2313,40
DSA2362,3
DSA3101,10
DSA3102,10
DSA3310,40
DSA3311,40
DSA3312,40
DSA3313,40
DSA3361,10
DSA3362,10
DSA4199,20
DSA4211,10
DSA4212,10
DSA4213,10
DSA4262,10
DSA4263,10
DSA4266,10
DSA4288,20
DSA4288M,20
DSA4288S,20
DSA4299,40
DSA4299C,40
DSA4310,40
DSA5101,10
DSA5102,10
DSA5103,10
DSA5104,10
DSA5105,10
DSA5201,10
DSA5202,10
DSA5203,10
DSA5204,10
DSA5205,10
DSA5206,10
DSA5208,10
DSA5831,20
DSA5843,20
DSC4214,10
DSC4219,10
DSC4229,5
DSC5221A,10
DSE1101,10
DSE3101,10
DTK1234,10
DTK1234A,10
DTS5701,13
DTS5702,13
DTS5703,13
DTS5711,13
DTS5712,20
DTS5731,6
DTS5732,13
DTS5733,13
DTS5734,13
DTS5735,13
DTS5736,6
DY5190,0
EBA5001,19
EBA5001G,19
EBA5002,26
EBA5002G,26
EBA5003,19
EBA5003G,19
EBA5004,19
EBA5004G,19
EBA5005,19
EBA5005G,19
EBA5006,19
EBA5006G,19
EBA5007,15
EBA5008,30
EBA5008G,30
